,track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
347,For Her,Chris Lane,6VB64hpnpRNqukYsIX76uo,0.491,0.904,6.0,-4.324,1.0,0.0344,0.0985,0.0,0.183,0.588,150.007,audio_features,6VB64hpnpRNqukYsIX76uo,spotify:track:6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/tracks/6VB64hpnpRNqukYsIX76uo,https://api.spotify.com/v1/audio-analysis/6VB64hpnpRNqukYsIX76uo,211227.0,4.0
348,House Party,Sam Hunt,1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8.0,-5.251,1.0,0.0514,0.113,0.0,0.026,0.859,103.966,audio_features,1TwLKNsCnhi1HxbIi4bAW0,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0,https://api.spotify.com/v1/audio-analysis/1TwLKNsCnhi1HxbIi4bAW0,190240.0,4.0
349,From the Ground Up,Dan + Shay,0lQJBl9YEsoMtE8D4yTE9g,0.281,0.58,9.0,-5.967,1.0,0.0323,0.333,0.0,0.122,0.282,151.568,audio_features,0lQJBl9YEsoMtE8D4yTE9g,spotify:track:0lQJBl9YEsoMtE8D4yTE9g,https://api.spotify.com/v1/tracks/0lQJBl9YEsoMtE8D4yTE9g,https://api.spotify.com/v1/audio-analysis/0lQJBl9YEsoMtE8D4yTE9g,253933.0,3.0
350,Backroad Song,Granger Smith,6naYpFIKihKbGg6lGxpveI,0.488,0.833,11.0,-6.571,1.0,0.0437,0.0352,0.0172,0.34,0.751,174.006,audio_features,6naYpFIKihKbGg6lGxpveI,spotify:track:6naYpFIKihKbGg6lGxpveI,https://api.spotify.com/v1/tracks/6naYpFIKihKbGg6lGxpveI,https://api.spotify.com/v1/audio-analysis/6naYpFIKihKbGg6lGxpveI,236787.0,4.0
351,Yeah Boy,Kelsea Ballerini,2WaOQWSv0D1tZNxyLvnGAI,0.589,0.809,3.0,-5.292,1.0,0.0376,0.231,0.0,0.0719,0.496,88.965,audio_features,2WaOQWSv0D1tZNxyLvnGAI,spotify:track:2WaOQWSv0D1tZNxyLvnGAI,https://api.spotify.com/v1/tracks/2WaOQWSv0D1tZNxyLvnGAI,https://api.spotify.com/v1/audio-analysis/2WaOQWSv0D1tZNxyLvnGAI,194413.0,4.0
352,Head Over Boots,Jon Pardi,4ly1QBXEwYoDmje9rmEgC4,0.563,0.688,7.0,-4.474,1.0,0.0262,0.0763,0.0,0.0863,0.622,108.008,audio_features,4ly1QBXEwYoDmje9rmEgC4,spotify:track:4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/tracks/4ly1QBXEwYoDmje9rmEgC4,https://api.spotify.com/v1/audio-analysis/4ly1QBXEwYoDmje9rmEgC4,202347.0,4.0
353,Break Up with Him,Old Dominion,5ZManJDV3CexO66nRCkdiV,0.617,0.632,8.0,-5.381,1.0,0.0371,0.0675,0.0,0.108,0.564,151.988,audio_features,5ZManJDV3CexO66nRCkdiV,spotify:track:5ZManJDV3CexO66nRCkdiV,https://api.spotify.com/v1/tracks/5ZManJDV3CexO66nRCkdiV,https://api.spotify.com/v1/audio-analysis/5ZManJDV3CexO66nRCkdiV,207733.0,4.0
354,Confession,Florida Georgia Line,6IFPfV8PNSYOmufzQ95hmm,0.549,0.878,1.0,-5.066,1.0,0.0358,0.106,6.07e-05,0.176,0.44,104.98,audio_features,6IFPfV8PNSYOmufzQ95hmm,spotify:track:6IFPfV8PNSYOmufzQ95hmm,https://api.spotify.com/v1/tracks/6IFPfV8PNSYOmufzQ95hmm,https://api.spotify.com/v1/audio-analysis/6IFPfV8PNSYOmufzQ95hmm,190640.0,4.0
355,Stay A Little Longer,Brothers Osborne,23EkfwUdsRIz7jAZIcC8gb,0.557,0.886,6.0,-5.356,1.0,0.0302,0.0377,0.108,0.163,0.545,96.989,audio_features,23EkfwUdsRIz7jAZIcC8gb,spotify:track:23EkfwUdsRIz7jAZIcC8gb,https://api.spotify.com/v1/tracks/23EkfwUdsRIz7jAZIcC8gb,https://api.spotify.com/v1/audio-analysis/23EkfwUdsRIz7jAZIcC8gb,335480.0,4.0
356,Leave The Night On,Sam Hunt,3wx2kQWPn9p5UppQbNhPAk,0.514,0.951,9.0,-3.813,1.0,0.0603,0.0951,0.0,0.349,0.838,171.96,audio_features,3wx2kQWPn9p5UppQbNhPAk,spotify:track:3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/tracks/3wx2kQWPn9p5UppQbNhPAk,https://api.spotify.com/v1/audio-analysis/3wx2kQWPn9p5UppQbNhPAk,192160.0,4.0
357,Humble And Kind,Tim McGraw,4Pn0JlCUusD2QHjADuOzuV,0.355,0.48,11.0,-7.31,1.0,0.0282,0.679,2.28e-06,0.12,0.137,100.956,audio_features,4Pn0JlCUusD2QHjADuOzuV,spotify:track:4Pn0JlCUusD2QHjADuOzuV,https://api.spotify.com/v1/tracks/4Pn0JlCUusD2QHjADuOzuV,https://api.spotify.com/v1/audio-analysis/4Pn0JlCUusD2QHjADuOzuV,259267.0,3.0
358,Wasted Time,Keith Urban,13wYXGimJ5fANFu0y2pqG1,0.625,0.825,7.0,-5.758,1.0,0.0481,0.0621,0.0,0.0753,0.341,100.004,audio_features,13wYXGimJ5fANFu0y2pqG1,spotify:track:13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/tracks/13wYXGimJ5fANFu0y2pqG1,https://api.spotify.com/v1/audio-analysis/13wYXGimJ5fANFu0y2pqG1,233827.0,4.0
359,Think of You,Chris Young,6W9W8dSswA8KNegvl3W97V,0.616,0.893,11.0,-3.588,1.0,0.0375,0.000937,0.0,0.111,0.567,111.959,audio_features,6W9W8dSswA8KNegvl3W97V,spotify:track:6W9W8dSswA8KNegvl3W97V,https://api.spotify.com/v1/tracks/6W9W8dSswA8KNegvl3W97V,https://api.spotify.com/v1/audio-analysis/6W9W8dSswA8KNegvl3W97V,218947.0,4.0
360,You Look Good,Lady A,1dFLowBW25EaL2OC7eKEa2,0.656,0.917,0.0,-4.652,1.0,0.0495,0.045,0.000732,0.0878,0.961,152.067,audio_features,1dFLowBW25EaL2OC7eKEa2,spotify:track:1dFLowBW25EaL2OC7eKEa2,https://api.spotify.com/v1/tracks/1dFLowBW25EaL2OC7eKEa2,https://api.spotify.com/v1/audio-analysis/1dFLowBW25EaL2OC7eKEa2,181000.0,4.0
361,Somebody Else Will,Justin Moore,3n2A6l4UayVe3GGKCvfQWV,0.488,0.744,2.0,-4.284,0.0,0.131,0.0353,0.0,0.0952,0.59,180.007,audio_features,3n2A6l4UayVe3GGKCvfQWV,spotify:track:3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/tracks/3n2A6l4UayVe3GGKCvfQWV,https://api.spotify.com/v1/audio-analysis/3n2A6l4UayVe3GGKCvfQWV,165173.0,4.0
362,Party In The U.S.A.,Miley Cyrus,5Q0Nhxo0l2bP3pNjpGJwV1,0.652,0.698,10.0,-4.667,0.0,0.042,0.00112,0.000115,0.0886,0.47,96.021,audio_features,5Q0Nhxo0l2bP3pNjpGJwV1,spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1,https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1,202067.0,4.0
363,Legends,Kelsea Ballerini,1J0Zt2Sa9J9BRarqXnP5Uz,0.575,0.728,4.0,-5.846,1.0,0.032,0.0558,0.0,0.0909,0.242,112.029,audio_features,1J0Zt2Sa9J9BRarqXnP5Uz,spotify:track:1J0Zt2Sa9J9BRarqXnP5Uz,https://api.spotify.com/v1/tracks/1J0Zt2Sa9J9BRarqXnP5Uz,https://api.spotify.com/v1/audio-analysis/1J0Zt2Sa9J9BRarqXnP5Uz,243427.0,4.0
364,Round Here Buzz,Eric Church,52ioLaTnO2J7BWY8UN2n9D,0.638,0.441,2.0,-9.064,1.0,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,audio_features,52ioLaTnO2J7BWY8UN2n9D,spotify:track:52ioLaTnO2J7BWY8UN2n9D,https://api.spotify.com/v1/tracks/52ioLaTnO2J7BWY8UN2n9D,https://api.spotify.com/v1/audio-analysis/52ioLaTnO2J7BWY8UN2n9D,214627.0,4.0
